正确的 Python 运算符优先级表（中文 UTF-8 版）
以下是修正后的 UTF-8 编码的中文优先级表（从低到高）：

运算符类别					运算符示例				说明
lambda						lambda x: x + 1	Lambda 			表达式（匿名函数）
条件表达式					x if 条件 else y			    三元运算符 if-else
布尔或						or					            逻辑或（短路求值）
布尔与						and					            逻辑与（短路求值）
布尔非						not x					        逻辑非
比较运算符					in, not in, is, is not, <, >, <=, >=, !=, ==	成员测试、身份测试、大小比较
按位或						`	`
按位异或					^					                按位异或（Bitwise XOR）
按位与						&					            按位与（Bitwise AND）
移位运算符					<<, >>					        左移、右移
加减法						+, -					        算术加、减
乘除法						*, @, /, //, %				    乘、矩阵乘、除、地板除、取模
正负号/按位翻转					+x, -x, ~x				    一元正负号、按位取反
指数						**					            幂运算（右结合）
await 表达式					await x					        异步等待
下标/切片/调用/属性			x[i], x[a:b], x(), x.attr		索引、切片、函数调用、属性访问
